Event_ID,ticker,gvkey,fiscal_month,cusip,name,fiscal_year,event_year,event_date,confound_dum,confound_type,breach_size,breach_type,event_state,hq_state,dif3,dif7
32,GE,5047.0,12,"3,70E+08",General Electric (GE),2006,2006,2006-09-25,0,none,50000,PORT,Connecticut,New York,1.2943993507846383,1.1910751879637484
33,SBUX,25434.0,12,"8,55E+08",Starbucks Corp.,2006,2006,2006-11-03,0,none,60080,PORT,Washington,Washington,0.2235595439332162,0.19830510803847992
34,ARCO,186785.0,12,G0457F107,Four ARCO gas stations,2006,2006,2006-11-09,0,none,440,CARD,California,California,,
35,AMTD,64552.0,9,87236Y108,TD Ameritrade,2006,2006,2006-12-01,0,none,300,PORT,Nebraska,Nebraska,,
36,BAC,7647.0,12,60505104,Bank of America,2006,2006,2006-12-14,0,none,0,INSD,North Carolina,North Carolina,0.2184539844129034,0.44810312584525164
37,KEY,9783.0,12,"4,93E+08",KeyCorp,2006,2006,2006-12-30,0,none,9300,PORT,Ohio,Ohio,0.1661425576110464,0.24224171340446674
38,JPM,2968.0,12,46625H100,Chase Bank,2007,2007,2007-01-26,0,none,4100,PHYS,Louisiana,New York,0.198321719979177,0.4548871922456606
39,SCHW,13988.0,12,"8,09E+08",Charles Schwab,2010,2010,2010-04-09,0,none,0,HACK,New York,California,0.0549327859577013,0.18180176698677505
40,TYO,,12,,Dai Nippon,2007,2007,2007-03-12,0,none,0,INSD,,Tokyo,,
41,BAC,7647.0,12,60505104,Bank of America,2007,2007,2007-04-12,0,none,0,PORT,North Carolina,North Carolina,0.2340033613608018,0.34964022138938383
42,JPM,2968.0,12,46625H100,JP Morgan,2007,2007,2007-05-01,0,none,0,PHYS,New York,New York,0.1747554234343725,0.18225543514299017
43,IBM,6066.0,12,"4,59E+08",IBM,2007,2007,2007-05-15,0,none,2226,PORT,New York,New York,0.2443863754090626,0.7449000778144254
44,JPM,2968.0,12,46625H100,JP Morgan Chase,2010,2010,2010-06-12,0,none,12,INSD,New Jersey,New York,0.3925289570914754,0.5092043612535709
45,HRB,2269.0,4,93671105,H&R Block,2009,2010,2010-04-08,0,none,20,INSD,New York,Missouri,0.0794017845145871,0.09261687717165458
46,PFE,8530.0,12,"7,17E+08",Pfizer,2007,2007,2007-06-11,0,none,17000,DISC,New York,New York,0.0816769031124949,0.21913704789338795
47,BAC,7647.0,12,60505104,Bank of America,2010,2010,2010-04-07,0,none,0,INSD,North Carolina,North Carolina,0.1724324347625625,0.2556076162774036
48,AAL,1045.0,12,02376R102,American Airlines,2007,2007,2007-06-20,0,none,365,DISC,Texas,Texas,0.920479596881988,0.7631670342702859
49,IBTX,17451.0,12,45384B106,Texas First Bank,2007,2007,2007-06-22,0,none,4000,PORT,Texas,Texas,,
50,DIS,3980.0,9,"2,55E+08",Disney Movie Club,2007,2007,2007-07-11,0,none,0,INSD,Wisconsin,California,0.2062020595583384,0.22752988302455968
51,SAIC,18683.0,1,"8,09E+08",Science Applications International Corp. (SAIC),2006,2007,2007-07-20,0,none,867000,DISC,California,Virginia,,
52,EOAN,100590.0,12,"2,69E+08",E.On,2007,2007,2007-08-02,0,none,0,PORT,Kentucky,Germany,,
53,WFC,8007.0,12,"9,50E+08",Wachovia,2010,2010,2010-03-24,0,none,0,CARD,Washington,California,0.2173216879732578,0.23670542464877908
54,MER,113852.0,12,59017R107,Merrill Lynch,2007,2007,2007-08-07,0,none,33000,UNKN,New Jersey,North Carolina,,
55,PFE,8530.0,12,"7,17E+08",Pfizer,2007,2007,2007-08-13,0,none,950,PORT,New York,New York,0.1106089501903577,0.17058419782116235
56,TD,15706.0,10,"8,91E+08",TD Bank,2010,2010,2010-03-13,0,none,0,INSD,New Jersey,New Jersey,0.3328929077438348,0.6192498618453544
57,T,9899.0,12,00206R102,AT&T,2007,2007,2007-08-30,0,none,0,PORT,Texas,Texas,0.1229629045751775,0.10407458673519941
58,PFE,8530.0,12,"7,17E+08",Pfizer,2007,2007,2007-09-04,0,none,34000,INSD,New York,New York,0.1188338309673924,0.15888125519291166
59,ARW,1773.0,12,42735100,Arrow Electronics,2010,2010,2010-03-08,0,none,4044,PORT,New York,New York,0.2539523247967208,0.20165991821814133
60,C,3243.0,12,"1,73E+08",Citigroup,2007,2007,2007-09-21,0,none,5208,DISC,Illinois,New York,4.151454924862348,5.772571432825672
61,GPS,4990.0,1,"3,65E+08",Gap Inc.,2006,2007,2007-09-28,0,none,800000,PORT,California,California,0.1167502827393813,0.15410653567437949
62,T,9899.0,12,00206R102,AT&T,2010,2010,2010-02-27,0,none,0,INSD,Illinois,Texas,0.0270427230423799,0.02243610924811181
63,STI,10187.0,12,"8,68E+08",SunTrust Bank,2010,2010,2010-02-22,0,none,200,CARD,Georgia,Georgia,,
64,BLIAQ,3491.0,12,93676104,Blockbuster,2007,2007,2007-10-23,0,none,0,PHYS,Florida,Texas,0.1556437867862916,0.10315038104880059
65,HIG,61739.0,12,"4,17E+08",Hartford Financial Services Group,2007,2007,2007-10-29,0,none,230000,PORT,Connecticut,Connecticut,0.8760014660009787,1.5603686563562669
66,METR,16784.0,12,"2,01E+08",Commerce Bancorp,2007,2007,2007-11-13,0,none,0,INSD,Pennsylvania,Pennsylvania,,
67,BBRG,185194.0,12,10567B109,Brio Tuscan Grille in Country Club Plaza,2010,2010,2010-01-22,0,none,20,CARD,Missouri,Ohio,,
68,JPM,2968.0,12,46625H100,CHASE,2010,2010,2010-01-19,0,none,0,DISC,Kentucky,New York,1.1136083050157526,1.4884257899011977
69,FORR,64061.0,12,"3,47E+08",Forrester Research,2007,2007,2007-12-05,0,none,0,PORT,Massachusetts,Massachusetts,0.7575690729095405,0.6627399519649497
70,SHLD,6307.0,1,"8,12E+08",Sears,2007,2008,2008-01-07,0,none,0,DISC,Illinois,Illinois,,
71,GE,5047.0,12,"3,70E+08",GE Money,2008,2008,2008-01-17,0,none,150000,PORT,Massachusetts,New York,2.293048007846937,2.2787636458971976
72,TRU,24638.0,12,89400J107,TransUnion,2008,2008,2008-01-29,0,none,400,INSD,Pennsylvania,Illinois,,
73,BK,2019.0,12,64058100,Bank of New York Mellon,2008,2008,2008-03-26,0,none,12500000,PORT,Pennsylvania,New York,0.9087668806604507,1.1055471105209134
74,PFE,8530.0,12,"7,17E+08",Pfizer Inc,2008,2008,2008-04-07,0,none,800,PORT,New York,New York,0.1401699369526484,0.17031839019013073
75,SDS,12144.0,12,"8,67E+08",SunGard,2008,2008,2008-04-17,0,none,0,PORT,0,Pennsylvania,133.27899476416243,119.27737329332233
76,SAIC,18683.0,1,"8,09E+08",SAIC,2007,2008,2008-03-06,0,none,4690,PORT,Maryland,Virginia,,
77,PFE,8530.0,12,"7,17E+08",Pfizer,2008,2008,2008-05-12,0,none,13000,PORT,New York,New York,0.0575693810030488,0.058845500889233786
78,BBT,11856.0,12,54937107,BB&T Insurance,2008,2008,2008-05-15,0,none,0,PORT,Virginia,North Carolina,,
79,DPZ,160211.0,12,25754A201,Domino's Pizza,2008,2008,2008-06-18,0,none,0,PHYS,Arizona,Michigan,0.2311598756816134,0.29025213895347535
80,C,3243.0,12,"1,73E+08",Citibank,2008,2008,2008-06-19,0,none,0,HACK,New York,New York,4.30561161683369,6.181445903631711
81,FB,170617.0,12,30303M102,Facebook,2008,2008,2008-07-17,0,none,80000000,DISC,California,California,,
82,WFC,8007.0,12,"9,50E+08",Wells Fargo,2008,2008,2008-08-12,0,none,5000,HACK,Minnesota,California,0.6351247260839153,0.596599921786867
83,MCD,7154.0,12,"5,80E+08",Liberty McDonald's Restaurant,2008,2008,2008-08-22,0,none,0,INSD,Kentucky,Illinois,0.3293426793573273,0.3957163652781231
84,BAC,7647.0,12,60505104,Bank of America,2010,2010,2010-06-08,0,none,0,INSD,Florida,North Carolina,0.2336900011709145,0.260888045992508
85,AAPL,1690.0,12,37833100,Apple Inc.,2010,2010,2010-06-09,0,none,120000,HACK,California,California,0.1158595902005694,0.1953451713217993
86,CAKE,25737.0,12,"1,63E+08",Cheesecake Factory,2010,2010,2010-05-24,0,none,0,INSD,District Of Columbia,California,0.0836948107502909,0.5367219253860023
87,PFG,145701.0,12,74251V102,Principal Financial Group,2010,2010,2010-05-14,0,none,0,HACK,Iowa,Iowa,0.465912675647837,0.871075377378904
88,LUX,20196.0,12,55068R202,Luxottica Group,2008,2008,2008-11-26,0,none,59419,HACK,Ohio,Milan,,
89,HPQ,5606.0,10,40434L105,Hewlett-Packard,2008,2008,2008-12-11,0,none,1000,PORT,Texas,California,0.1695761315063186,0.32990070312525105
90,WFC,8007.0,12,"9,50E+08",Wachovia Bank,2010,2010,2010-08-23,0,none,0,INSD,Georgia,California,0.3338996341337509,0.5516578309685671
91,BAC2,7267.0,12,59098Z002,Merrill Lynch,2009,2009,2009-01-02,0,none,0,STAT,New York,North Carolina,,
92,MWW,64156.0,12,"6,12E+08",Monster.com,2009,2009,2009-01-23,0,none,0,HACK,Massachusetts,Massachusetts,,
93,QTM,8867.0,3,"7,48E+08",Quantum Corporation,2009,2010,2010-06-17,0,none,0,PORT,Washington,California,,
94,T,9899.0,12,00206R102,AT&T,2010,2010,2010-06-10,0,none,0,DISC,Florida,Texas,0.115665846398391,0.12811187499228716
95,GOOG,160329.0,12,02079K305,Google,2009,2009,2009-03-07,0,none,0,DISC,California,California,0.2883054146240997,0.28758210208743473
96,S,10984.0,12,85207U105,Sprint,2009,2009,2009-03-11,0,none,0,INSD,Kansas,Kansas,,
97,CMCSA,3226.0,12,20030N101,Comcast,2009,2009,2009-03-16,0,none,4000,DISC,Pennsylvania,Pennsylvania,0.1549390564422566,0.24202628829237038
98,TM5,17874.0,12,"8,73E+08",T-Mobile USA,2009,2009,2009-07-07,0,none,0,HACK,Washington,Washington,,
99,BLKB,260893.0,12,09227Q100,Blackbaud Inc.,2009,2009,2009-06-17,0,none,84000,PORT,South Carolina,South Carolina,0.4166550088592513,0.2953043573594282
100,BR,176928.0,6,11133T103,"Broadridge Financial Solutions, Inc.",2009,2009,2009-06-22,0,none,0,DISC,New Jersey,New York,0.2146736629785081,0.18143627506729312
